Product_Name,Price,Rating,Availability,Product_Link
Sneakers For Men  (White),"₹1,187",4.3★,Available,https://www.flipkart.com/red-tape-sneakers-men/p/itmaa3c812f6c8ff?pid=SHOGQXVHQEHVEZKN&lid=LSTSHOGQXVHQEHVEZKN1FLFXR&marketplace=FLIPKART&q=sneakers&store=osp&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=a0bb689d-0810-4a3d-bdf5-f3b0377cd5a5.SHOGQXVHQEHVEZKN.SEARCH&ppt=None&ppn=None&ssid=x9xx4guiq80000001699333375167&qH=a1743c0d39461290
Sneakers For Men  (Black),"₹1,239",3.9★,Available,https://www.flipkart.com/solethreads-rebel-sneakers-men/p/itm3a5045c9a7ef7?pid=SHOGHYJFZHYGZXGE&lid=LSTSHOGHYJFZHYGZXGEBT6WSA&marketplace=FLIPKART&q=sneakers&store=osp&srno=s_1_27&otracker=search&otracker1=search&fm=organic&iid=en_rq0MiuaSeiT3RGJ0yaNOXXW0GjIsOkLLYMlBZWRXaoyHEfNIZ-KamfDkG8cD1wUDzh5OXvMF-EGJaPSXK-ax7Q%3D%3D&ppt=None&ppn=None&ssid=x9xx4guiq80000001699333375167&qH=a1743c0d39461290
Sneakers For Men  (Off White),"₹1,239",3.9★,Available,https://www.flipkart.com/solethreads-rebel-sneakers-men/p/itmbd3acc05112ba?pid=SHOGS9Z6QUE8AJ4A&lid=LSTSHOGS9Z6QUE8AJ4AYS5LNX&marketplace=FLIPKART&q=sneakers&store=osp&srno=s_1_31&otracker=search&otracker1=search&fm=organic&iid=en_rq0MiuaSeiT3RGJ0yaNOXXW0GjIsOkLLYMlBZWRXaoyLNp40jkv5cMwGn0Sk8rO2i6Ple3zGBb3gdyStxROV3g%3D%3D&ppt=None&ppn=None&ssid=x9xx4guiq80000001699333375167&qH=a1743c0d39461290
Sneakers For Men  (White),₹343,3.6★,Available,https://www.flipkart.com/aadi-sneakers-men/p/itmfbbd674083772?pid=SHOGMKFZJYJKJZ4J&lid=LSTSHOGMKFZJYJKJZ4JOC8WVV&marketplace=FLIPKART&q=sneakers&store=osp&spotlightTagId=BestsellerId_osp&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=a0bb689d-0810-4a3d-bdf5-f3b0377cd5a5.SHOGMKFZJYJKJZ4J.SEARCH&ppt=None&ppn=None&ssid=x9xx4guiq80000001699333375167&qH=a1743c0d39461290
Combo Pack Of 2 Casual Shoes Sneakers For Men  (Black),₹497,3.6★,Available,https://www.flipkart.com/bruton-combo-pack-2-casual-shoes-sneakers-men/p/itm3b4d470d4d666?pid=SHOGHMDPNZGTHS5H&lid=LSTSHOGHMDPNZGTHS5HVAQVKR&marketplace=FLIPKART&q=sneakers&store=osp&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_rq0MiuaSeiT3RGJ0yaNOXXW0GjIsOkLLYMlBZWRXaozBRujZZ0FGAJYj-nbOTKzZYtLNRta-ERYCaliDSpar0g%3D%3D&ppt=None&ppn=None&ssid=x9xx4guiq80000001699333375167&qH=a1743c0d39461290
Buzz Sneakers For Men  (White),"₹1,298",4.1★,Available,https://www.flipkart.com/puma-buzz-sneakers-men/p/itma139980d70b82?pid=SHOGGEYGEHHEUQET&lid=LSTSHOGGEYGEHHEUQETUXX3AI&marketplace=FLIPKART&q=sneakers&store=osp&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=a0bb689d-0810-4a3d-bdf5-f3b0377cd5a5.SHOGGEYGEHHEUQET.SEARCH&ppt=None&ppn=None&ssid=x9xx4guiq80000001699333375167&qH=a1743c0d39461290
"Sneaker Casual Shoes for Men | Soft Cushioned Insole, Slip-Resistance Sneakers For Men  (White)","₹1,517",4.2★,Available,https://www.flipkart.com/red-tape-sneaker-casual-shoes-men-soft-cushioned-insole-slip-resistance-sneakers/p/itmaf1bf605d60cd?pid=SHOGM84UVJ6G7PG7&lid=LSTSHOGM84UVJ6G7PG7JYTVWU&marketplace=FLIPKART&q=sneakers&store=osp&srno=s_1_26&otracker=search&otracker1=search&fm=organic&iid=a0bb689d-0810-4a3d-bdf5-f3b0377cd5a5.SHOGM84UVJ6G7PG7.SEARCH&ppt=None&ppn=None&ssid=x9xx4guiq80000001699333375167&qH=a1743c0d39461290
"Sneakers For Men  (Black, Yellow)",₹338,4★,Available,https://www.flipkart.com/aadi-sneakers-men/p/itm43f2c0403b2ea?pid=SHOFTPMJZTDGX8M4&lid=LSTSHOFTPMJZTDGX8M4UGVMQ4&marketplace=FLIPKART&q=sneakers&store=osp&srno=s_1_34&otracker=search&otracker1=search&fm=organic&iid=a0bb689d-0810-4a3d-bdf5-f3b0377cd5a5.SHOFTPMJZTDGX8M4.SEARCH&ppt=None&ppn=None&ssid=x9xx4guiq80000001699333375167&qH=a1743c0d39461290
Sneakers For Men  (White),₹349,4★,Available,https://www.flipkart.com/ego-ns-sneakers-men/p/itm49a3c999865ef?pid=SHOGGYDPDG85GHHM&lid=LSTSHOGGYDPDG85GHHMDSFRQW&marketplace=FLIPKART&q=sneakers&store=osp&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=a0bb689d-0810-4a3d-bdf5-f3b0377cd5a5.SHOGGYDPDG85GHHM.SEARCH&ppt=None&ppn=None&ssid=x9xx4guiq80000001699333375167&qH=a1743c0d39461290
CLARKIN Sneakers For Men  (Grey),"₹1,429",4.2★,Available,https://www.flipkart.com/u-s-polo-assn-clarkin-sneakers-men/p/itm41569f1a9c7ac?pid=SHOG3N6QBURAJ4XJ&lid=LSTSHOG3N6QBURAJ4XJRDM1M8&marketplace=FLIPKART&q=sneakers&store=osp&srno=s_1_33&otracker=search&otracker1=search&fm=organic&iid=a0bb689d-0810-4a3d-bdf5-f3b0377cd5a5.SHOG3N6QBURAJ4XJ.SEARCH&ppt=None&ppn=None&ssid=x9xx4guiq80000001699333375167&qH=a1743c0d39461290
Sneakers For Men  (Grey),₹363,3.8★,Available,https://www.flipkart.com/aadi-sneakers-men/p/itmfc7115b140d1d?pid=SHOG6BZZBFHWF4RF&lid=LSTSHOG6BZZBFHWF4RF5AYXZ2&marketplace=FLIPKART&q=sneakers&store=osp&srno=s_1_38&otracker=search&otracker1=search&fm=organic&iid=en_rq0MiuaSeiT3RGJ0yaNOXXW0GjIsOkLLYMlBZWRXaozgDUrlRUzdleNUQacq1cnTnckR2O1Z5vV6t8EVLGM3FA%3D%3D&ppt=None&ppn=None&ssid=x9xx4guiq80000001699333375167&qH=a1743c0d39461290
Premium Casual Shoes for Women Sneakers For Women  (Pink),₹299,4★,Available,https://www.flipkart.com/birde-premium-casual-shoes-women-sneakers/p/itmd9d288f5af82f?pid=SHOGEWPPDUP5GSH5&lid=LSTSHOGEWPPDUP5GSH5QMHUJT&marketplace=FLIPKART&q=sneakers&store=osp&srno=s_1_39&otracker=search&otracker1=search&fm=organic&iid=a0bb689d-0810-4a3d-bdf5-f3b0377cd5a5.SHOGEWPPDUP5GSH5.SEARCH&ppt=None&ppn=None&ssid=x9xx4guiq80000001699333375167&qH=a1743c0d39461290
Sneakers For Women  (White),₹409,4★,Available,https://www.flipkart.com/deals4you-sneakers-women/p/itmd1241f2f24eb8?pid=SHOG7PJ6FESYTBAZ&lid=LSTSHOG7PJ6FESYTBAZQWLHAD&marketplace=FLIPKART&q=sneakers&store=osp&srno=s_1_25&otracker=search&otracker1=search&fm=organic&iid=a0bb689d-0810-4a3d-bdf5-f3b0377cd5a5.SHOG7PJ6FESYTBAZ.SEARCH&ppt=None&ppn=None&ssid=x9xx4guiq80000001699333375167&qH=a1743c0d39461290
Sneakers For Men  (White),₹595,4★,Available,https://www.flipkart.com/rapidbox-sneakers-men/p/itm3e9655a4a9be5?pid=SHOG6WUHWE3CQCGW&lid=LSTSHOG6WUHWE3CQCGWKTSX7C&marketplace=FLIPKART&q=sneakers&store=osp&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=en_rq0MiuaSeiT3RGJ0yaNOXXW0GjIsOkLLYMlBZWRXaoxxCuu5ip6Y8ZZ6L_O-14jqiK7ID3etfPN8ubLEJLqk5A%3D%3D&ppt=None&ppn=None&ssid=x9xx4guiq80000001699333375167&qH=a1743c0d39461290
"High Ankle Casual Shoes For Men Chunky Fashion Sneakers For Boys| Dancing Shoes Sneakers For Men  (Red, Black)",₹710,3.9★,Available,https://www.flipkart.com/zixer-high-ankle-casual-shoes-men-chunky-fashion-sneakers-boys-dancing/p/itm2cbae9b604705?pid=SHOGSDDJYUZVWUGH&lid=LSTSHOGSDDJYUZVWUGHQGMQPD&marketplace=FLIPKART&q=sneakers&store=osp&srno=s_1_37&otracker=search&otracker1=search&fm=organic&iid=en_rq0MiuaSeiT3RGJ0yaNOXXW0GjIsOkLLYMlBZWRXaowbstJ7fpVPU-nIXmTLdKZMKM8zy7TX9TpatU19mlv1_w%3D%3D&ppt=None&ppn=None&ssid=x9xx4guiq80000001699333375167&qH=a1743c0d39461290
Combo Pack Of 2 Casual Shoes Sneakers For Men  (Black),₹497,3.7★,Available,https://www.flipkart.com/bruton-combo-pack-2-casual-shoes-sneakers-men/p/itm5a5b37982625b?pid=SHOGGG5HXD8CXESU&lid=LSTSHOGGG5HXD8CXESUKKLFUV&marketplace=FLIPKART&q=sneakers&store=osp&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=en_rq0MiuaSeiT3RGJ0yaNOXXW0GjIsOkLLYMlBZWRXaoz_0UznvpvEfSW7XK9VYq2KOHvtRW4vqbGmBzsgh8vjew%3D%3D&ppt=None&ppn=None&ssid=x9xx4guiq80000001699333375167&qH=a1743c0d39461290
CLARKIN Sneakers For Men  (Off White),"₹1,429",4.2★,Available,https://www.flipkart.com/u-s-polo-assn-clarkin-sneakers-men/p/itmffgjyzycpadew?pid=SHOFGJA9DKNRWYUV&lid=LSTSHOFGJA9DKNRWYUVSTF7IX&marketplace=FLIPKART&q=sneakers&store=osp&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=a0bb689d-0810-4a3d-bdf5-f3b0377cd5a5.SHOFGJA9DKNRWYUV.SEARCH&ppt=None&ppn=None&ssid=x9xx4guiq80000001699333375167&qH=a1743c0d39461290
Impel Sneakers For Men  (Blue),"₹1,709",3.9★,Available,https://www.flipkart.com/puma-impel-sneakers-men/p/itm95797e1bcda33?pid=SHOGC4N2UNY6ECYT&lid=LSTSHOGC4N2UNY6ECYTLNPX7T&marketplace=FLIPKART&q=sneakers&store=osp&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=a0bb689d-0810-4a3d-bdf5-f3b0377cd5a5.SHOGC4N2UNY6ECYT.SEARCH&ppt=None&ppn=None&ssid=x9xx4guiq80000001699333375167&qH=a1743c0d39461290
Rungryp Sneakers For Men  (Blue),"₹1,899",4.3★,Available,https://www.flipkart.com/puma-rungryp-sneakers-men/p/itm7b4744135bc9c?pid=SHOGQAZDSYPNJ4EX&lid=LSTSHOGQAZDSYPNJ4EXXD64YM&marketplace=FLIPKART&q=sneakers&store=osp&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=a0bb689d-0810-4a3d-bdf5-f3b0377cd5a5.SHOGQAZDSYPNJ4EX.SEARCH&ppt=None&ppn=None&ssid=x9xx4guiq80000001699333375167&qH=a1743c0d39461290
